valuation_date,missing,top,component_1.0_0.8,component_0.8_0.6,component_0.6_0.4,component_0.4_0.2,component_0.2_0.0
2025-11-03,-0.00333851789611497,0,0.041197839075792,0.00010195717678686,-0.0112187788016224,-0.0260342451657093,0.00169862545660153
2025-11-04,-0.00336901821193646,0,0.00183910185122638,0,-0.00122114568326253,-0.00250530776262717,0.000499669709797795
2025-11-05,-0.00380936843839938,0,0.0278446742427874,0,-0.018127026535292,-0.0136806244724669,0.000244785522230722
2025-11-06,-0.0038724758505288,4.03243037004428e-31,0.0266729052502395,0,-0.019291993412161,-0.00543392065480628,-0.00515523790934138
